donor_id,donation_amount,donation_date,account_type,donation_source
0014T000008UIwM,12,2022-02-28,Core,Email
0014T00000SAlLD,20.6,2022-04-15,Core,Ads
0014T00000FUPly,12,2021-11-24,Core,Ads
0014T000004xQ2O,50,2021-06-05,Core,Ads
0014T000008UIwM,12,2022-03-30,Core,Email
0014T000004yMBI,103,2021-05-17,Mid-Level,Email
0014T000004yWp6,25,2021-01-08,Core,Website
0014T000004xQ2O,50,2021-07-05,Core,Ads
0014T000008UIwM,12,2022-04-30,Core,Email
0014T00000FxF9U,25.75,2022-04-18,Core,Website
0014T000004yWp6,25,2021-02-08,Core,Website
0014T000004y7Hf,25,2021-12-01,Core,Website
0014T00000MV0LW,25.75,2022-02-23,Core,Website
0014T000004xQ2O,50,2021-08-05,Core,Ads
0014T000004yIfs,20,2022-03-06,Core,Website
0014T00000N7i5p,25,2022-02-01,Core,Website
0014T00000DFGd3,25,2021-10-22,Core,Website
0014T00000FxF9U,25.75,2022-05-18,Core,Website
0014T000004xQ2O,50,2021-09-05,Core,Ads
0014T000004yIfs,20,2022-04-06,Core,Website
0014T00000MUbzv,25,2021-10-16,Core,Ads
0014T000004xEcD,25,2022-04-18,Core,Website
0014T00000MUbzv,25,2021-09-16,Core,Ads
0014T000008UJla,10,2021-06-23,Core,Email
0014T00000N8PWq,103,2022-04-05,Core,Website
0014T000004yAFG,25.75,2021-06-27,Core,Website
0014T000004xEcD,25,2022-05-18,Core,Website
0014T000008UJla,10,2021-07-23,Core,Email
0014T000004yAFG,25.75,2021-07-27,Core,Website
0014T000008UJla,10,2021-08-23,Core,Email
0014T00000N8ouW,25.75,2022-03-11,Core,Website
0014T000004yAFG,25.75,2021-08-27,Core,Website
0014T000008UJla,10,2021-09-23,Core,Email
0014T00000GiuIV,50,2021-07-18,Core,Website
0014T000004yAFG,25.75,2021-09-27,Core,Website
0014T000004xCdh,100,2021-01-11,Mid-Level,Email
0014T000008UJla,10,2021-10-23,Core,Email
0014T000004yAFG,25.75,2021-10-27,Core,Website
0014T00000K4Uw9,100,2021-09-10,Core,Website
0014T000008UJla,10,2021-11-23,Core,Email
0014T000004xlOM,30.9,2022-05-09,Core,Website
0014T00000N82gA,12,2021-12-07,Core,Website
0014T000008UJla,10,2021-12-23,Core,Email
0014T00000DE3yD,20.6,2021-01-17,Core,Ads
0014T00000Qcq9e,25,2022-05-09,Core,Ads
0014T000008UJla,10,2022-01-23,Core,Email
0014T00000DE3yD,20.6,2021-02-17,Core,Ads
0014T00000FxWdS,25.75,2021-09-19,Core,Website
0014T000004xeO4,100,2021-05-22,Mid-Level,Direct Mail
0014T000008UJla,10,2022-02-23,Core,Email
0014T00000DE3yD,20.6,2021-03-17,Core,Ads
0014T00000FxWdS,25.75,2021-10-19,Core,Website
0014T000004xeO4,100,2021-06-22,Mid-Level,Direct Mail
0014T00000FxWdS,25.75,2021-11-19,Core,Website
0014T00000GAbwE,77.25,2021-03-09,Mid-Level,Direct Mail
0014T00000Hr43X,50,2021-06-28,Core,Ads
0014T000004y40W,10,2021-06-30,Core,Email
0014T000004xeO4,100,2021-07-22,Mid-Level,Direct Mail
0014T00000FxWdS,25.75,2021-12-19,Core,Website
0014T00000GAbwE,77.25,2021-04-09,Mid-Level,Direct Mail
0014T000004kHcj,10.3,2021-03-16,Core,Website
0014T00000Hr43X,50,2021-07-28,Core,Ads
0014T000004y40W,10,2021-07-31,Core,Email
0014T000004xeO4,100,2021-08-22,Mid-Level,Direct Mail
0014T00000N7nXa,50,2021-12-04,Core,Website
0014T000008UJla,10,2021-01-23,Core,Email
0014T00000EFBJg,15.45,2021-03-22,Core,Website
0014T00000FxWdS,25.75,2022-01-19,Core,Website
0014T00000GAbwE,77.25,2021-05-09,Mid-Level,Direct Mail
0014T000004kHcj,5,2021-05-16,Core,Website
0014T000004y40W,10,2021-08-31,Core,Email
0014T000004xeO4,100,2021-09-22,Mid-Level,Direct Mail
0014T000008UJla,10,2021-02-23,Core,Email
0014T00000EFBJg,15.45,2021-04-22,Core,Website
0014T00000FxWdS,25.75,2022-02-19,Core,Website
0014T00000GAbwE,77.25,2021-06-09,Mid-Level,Direct Mail
0014T000004kHcj,5,2021-06-16,Core,Website
0014T000004xeO4,100,2021-10-22,Mid-Level,Direct Mail
0014T000008UJla,10,2021-03-23,Core,Email
0014T00000EFBJg,15.45,2021-05-22,Core,Website
0014T00000FxWdS,25.75,2022-03-19,Core,Website
0014T00000GAbwE,77.25,2021-07-09,Mid-Level,Direct Mail
0014T000004kHcj,5,2021-07-16,Core,Website
0014T000004xeO4,100,2021-11-22,Mid-Level,Direct Mail
0014T00000FS0dx,25.75,2022-05-04,Core,Ads
0014T00000P0BE5,19,2022-05-31,Core,Website
0014T00000FxWdS,25.75,2022-04-19,Core,Website
0014T00000GAbwE,77.25,2021-08-09,Mid-Level,Direct Mail
0014T000004kHcj,5,2021-08-16,Core,Website
0014T000004xeO4,100,2021-12-22,Mid-Level,Direct Mail
0014T00000N8wyh,40,2021-12-14,Core,Ads
0014T00000FxpLs,103,2021-03-20,Core,Website
0014T00000GAbwE,77.25,2021-09-09,Mid-Level,Direct Mail
0014T000004kHcj,5,2021-09-16,Core,Website
0014T000004xeO4,100,2022-01-22,Mid-Level,Direct Mail
0014T00000N8wyh,40,2021-11-14,Core,Ads
0014T00000FxpLs,103,2021-04-20,Core,Website
0014T00000GAbwE,77.25,2021-10-09,Mid-Level,Direct Mail
0014T00000OMk2e,50,2022-04-30,Mid-Level,Website
0014T000004xeO4,100,2022-02-22,Mid-Level,Direct Mail
0014T000004y23v,75,2022-05-30,Mid-Level,Website
0014T00000FxpLs,103,2021-05-20,Core,Website
0014T00000GAbwE,77.25,2021-11-09,Mid-Level,Direct Mail
0014T000004xeO4,100,2022-03-22,Mid-Level,Direct Mail
0014T000004xpP4,25,2022-03-01,Mid-Level,Website
0014T00000Fy7Lj,100,2021-04-22,Core,Website
0014T00000N7lIS,103,2021-12-01,Core,Website
0014T000004xeO4,100,2022-04-22,Mid-Level,Direct Mail
0014T00000N8Cm6,25.75,2021-12-04,Core,Website
0014T000004xpP4,25,2022-04-01,Mid-Level,Website
0014T000004xEH0,10.3,2022-04-24,Core,Website
0014T00000Fy7Lj,100,2021-05-22,Core,Website
0014T00000N7lIS,103,2021-11-01,Core,Website
0014T000004y1WG,25.75,2022-04-12,Core,Ads
0014T000004xpP4,25,2022-05-01,Mid-Level,Website
0014T00000N7lGI,12,2021-12-02,Core,Website
0014T000004y1WG,25.75,2022-03-12,Core,Ads
0014T000004xOnW,25,2021-10-20,Core,Ads
0014T000004yUFy,5,2021-04-21,Core,Website
0014T000004xDIw,25,2021-04-15,Core,Website
0014T000004yUFy,5,2021-05-21,Core,Website
0014T000004xDIw,25,2021-05-15,Core,Website
0014T000004xBQO,25,2021-01-12,Core,Website
0014T000004yUFy,5,2021-06-21,Core,Website
0014T000004xDIw,25,2021-06-15,Core,Website
0014T0000050toW,10,2021-02-28,Core,Email
0014T00000N7BZu,50,2022-05-09,Core,Website
0014T000004yUFy,5,2021-07-21,Core,Website
0014T000004xDIw,25,2021-07-15,Core,Website
0014T0000050toW,10,2021-03-30,Core,Email
0014T000004yWRY,100,2022-04-19,Mid-Level,Website
0014T000004yUFy,5,2021-08-21,Core,Website
0014T000004xDIw,25,2021-08-15,Core,Website
0014T000008U2Jh,12,2022-05-04,Core,Ads
0014T000004yWRY,100,2022-05-19,Mid-Level,Website
0014T000004yUFy,5,2021-12-21,Core,Website
