HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.02109E+13,22153
VD,2.02109E+13,22208
VD,2.02109E+13,22138
VD,2.02109E+13,21994
VD,2.02109E+13,21905
VD,2.02109E+13,21754
VD,2.02109E+13,21807
VD,2.02109E+13,21948
VD,2.02109E+13,21993
VD,2.02109E+13,22006
VD,2.02109E+13,21982
VD,2.02109E+13,21943
VD,2.02109E+13,21863
VD,2.02109E+13,21845
VD,2.02109E+13,21780
VD,2.02109E+13,21693
VD,2.02109E+13,21639
VD,2.02109E+13,21595
VD,2.02109E+13,21546
VD,2.02109E+13,21479
VD,2.02109E+13,21445
VD,2.02109E+13,21380
VD,2.02109E+13,21267
VD,2.02109E+13,21210
VD,2.02109E+13,21230
VD,2.02109E+13,21262
VD,2.02109E+13,21230
VD,2.02109E+13,21192
VD,2.02109E+13,21200
VD,2.02109E+13,21177
VD,2.02109E+13,21148
VD,2.02109E+13,21039
VD,2.02109E+13,20946
VD,2.02109E+13,20889
VD,2.02109E+13,20851
VD,2.02109E+13,20767
VD,2.02109E+13,20743
VD,2.02109E+13,20716
VD,2.02109E+13,20685
VD,2.02109E+13,20625
VD,2.02109E+13,20566
VD,2.02109E+13,20522
VD,2.02109E+13,20508
VD,2.02109E+13,20530
VD,2.02109E+13,20551
VD,2.02109E+13,20369
VD,2.02109E+13,20356
VD,2.02109E+13,20366
VD,2.02109E+13,20304
VD,2.02109E+13,20414
VD,2.02109E+13,20464
VD,2.02109E+13,20513
VD,2.02109E+13,20554
VD,2.02109E+13,20578
VD,2.02109E+13,20593
VD,2.02109E+13,20709
VD,2.02109E+13,20735
VD,2.02109E+13,20826
VD,2.02109E+13,20974
VD,2.02109E+13,21058
VD,2.02109E+13,21209
VD,2.02109E+13,21464
VD,2.02109E+13,21693
VD,2.02109E+13,21715
VD,2.02109E+13,21857
VD,2.02109E+13,21971
VD,2.02109E+13,22018
VD,2.02109E+13,22206
VD,2.02109E+13,22361
VD,2.02109E+13,22416
VD,2.02109E+13,22711
VD,2.02109E+13,23199
VD,2.02109E+13,23459
VD,2.02109E+13,23711
VD,2.02109E+13,23777
VD,2.02109E+13,23908
VD,2.02109E+13,24113
VD,2.02109E+13,24328
VD,2.02109E+13,24558
VD,2.02109E+13,24817
VD,2.02109E+13,25030
VD,2.02109E+13,25296
VD,2.02109E+13,25514
VD,2.02109E+13,25733
VD,2.02109E+13,25918
VD,2.02109E+13,26204
VD,2.02109E+13,26664
VD,2.02109E+13,26873
VD,2.02109E+13,27069
VD,2.02109E+13,27207
VD,2.02109E+13,27309
VD,2.02109E+13,27382
VD,2.02109E+13,27482
VD,2.02109E+13,27662
VD,2.02109E+13,27800
VD,2.02109E+13,27904
VD,2.02109E+13,28097
VD,2.02109E+13,28350
VD,2.02109E+13,28550
VD,2.02109E+13,28590
VD,2.02109E+13,28608
VD,2.02109E+13,28612
VD,2.02109E+13,28633
VD,2.02109E+13,28722
VD,2.02109E+13,28776
VD,2.02109E+13,28836
VD,2.02109E+13,28875
