HDR,ROLLING SYSTEM DEMAND
VD,20211012000000,23248
VD,20211012000500,23472
VD,20211012001000,23398
VD,20211012001500,23276
VD,20211012002000,23158
VD,20211012002500,23008
VD,20211012003000,23027
VD,20211012003500,23064
VD,20211012004000,22719
VD,20211012004500,22943
VD,20211012005000,22876
VD,20211012005500,22861
VD,20211012010000,22904
VD,20211012010500,23236
VD,20211012011000,23256
VD,20211012011500,23213
VD,20211012012000,23177
VD,20211012012500,23121
VD,20211012013000,23154
VD,20211012013500,23183
VD,20211012014000,23178
VD,20211012014500,23119
VD,20211012015000,23088
VD,20211012015500,22980
VD,20211012020000,22985
VD,20211012020500,22863
VD,20211012021000,22800
VD,20211012021500,22625
VD,20211012022000,22613
VD,20211012022500,22589
VD,20211012023000,22544
VD,20211012023500,22521
VD,20211012024000,22502
VD,20211012024500,22530
VD,20211012025000,22490
VD,20211012025500,22407
VD,20211012030000,22370
VD,20211012030500,22338
VD,20211012031000,22421
VD,20211012031500,22506
VD,20211012032000,22519
VD,20211012032500,22491
VD,20211012033000,22349
VD,20211012033500,22408
VD,20211012034000,22415
VD,20211012034500,22479
VD,20211012035000,22437
VD,20211012035500,22376
VD,20211012040000,22254
VD,20211012040500,22045
VD,20211012041000,22023
VD,20211012041500,22055
VD,20211012042000,22137
VD,20211012042500,22304
VD,20211012043000,22413
VD,20211012043500,22561
VD,20211012044000,22847
VD,20211012044500,23090
VD,20211012045000,23307
VD,20211012045500,23603
VD,20211012050000,23800
VD,20211012050500,24469
VD,20211012051000,25304
VD,20211012051500,25777
VD,20211012052000,26179
VD,20211012052500,26486
VD,20211012053000,26736
VD,20211012053500,27403
VD,20211012054000,28033
VD,20211012054500,28476
VD,20211012055000,29018
VD,20211012055500,29509
VD,20211012060000,30026
VD,20211012060500,30651
VD,20211012061000,31372
VD,20211012061500,31953
VD,20211012062000,32260
VD,20211012062500,32520
VD,20211012063000,32676
VD,20211012063500,32928
VD,20211012064000,33258
VD,20211012064500,33440
VD,20211012065000,33484
VD,20211012065500,33569
VD,20211012070000,33673
VD,20211012070500,33861
VD,20211012071000,34010
VD,20211012071500,34031
VD,20211012072000,33971
VD,20211012072500,33950
VD,20211012073000,33808
VD,20211012073500,33779
VD,20211012074000,33932
VD,20211012074500,33945
VD,20211012075000,33970
VD,20211012075500,33990
VD,20211012080000,34081
VD,20211012080500,34332
VD,20211012081000,34449
VD,20211012081500,34485
VD,20211012082000,34533
VD,20211012082500,34554
VD,20211012083000,34499
VD,20211012083500,34519
VD,20211012084000,34674
VD,20211012084500,34717
VD,20211012085000,34723
VD,20211012085500,34640
VD,20211012090000,34531
VD,20211012090500,34407
VD,20211012091000,34371
VD,20211012091500,34344
VD,20211012092000,34288
VD,20211012092500,34244
VD,20211012093000,34205
VD,20211012093500,34252
VD,20211012094000,34133
VD,20211012094500,34121
VD,20211012095000,34148
VD,20211012095500,34058
VD,20211012100000,33889
VD,20211012100500,33735
VD,20211012101000,33702
VD,20211012101500,33537
VD,20211012102000,33352
VD,20211012102500,33256
VD,20211012103000,33143
VD,20211012103500,33188
VD,20211012104000,33158
VD,20211012104500,33194
VD,20211012105000,33261
VD,20211012105500,33256
VD,20211012110000,33278
VD,20211012110500,33538
VD,20211012111000,33537
VD,20211012111500,33585
VD,20211012112000,33618
VD,20211012112500,33544
VD,20211012113000,33469
VD,20211012113500,33460
VD,20211012114000,33426
VD,20211012114500,33495
VD,20211012115000,33418
VD,20211012115500,33391
VD,20211012120000,33443
VD,20211012120500,33476
VD,20211012121000,33382
VD,20211012121500,33215
VD,20211012122000,33164
VD,20211012122500,33003
VD,20211012123000,32761
VD,20211012123500,32732
VD,20211012124000,32692
VD,20211012124500,32789
VD,20211012125000,32890
VD,20211012125500,32816
VD,20211012130000,32800
VD,20211012130500,32873
VD,20211012131000,32908
VD,20211012131500,32984
VD,20211012132000,32932
VD,20211012132500,32966
VD,20211012133000,33007
VD,20211012133500,33156
VD,20211012134000,33386
VD,20211012134500,33375
VD,20211012135000,33441
VD,20211012135500,33542
VD,20211012140000,33570
VD,20211012140500,33831
VD,20211012141000,33881
VD,20211012141500,33885
VD,20211012142000,33931
VD,20211012142500,34087
VD,20211012143000,34149
VD,20211012143500,34226
VD,20211012144000,34331
VD,20211012144500,34504
VD,20211012145000,34681
VD,20211012145500,34816
VD,20211012150000,34938
VD,20211012150500,34886
VD,20211012151000,34919
VD,20211012151500,35038
VD,20211012152000,35136
VD,20211012152500,35303
VD,20211012153000,35439
VD,20211012153500,35665
VD,20211012154000,35844
VD,20211012154500,36032
VD,20211012155000,36258
VD,20211012155500,36441
VD,20211012160000,36566
VD,20211012160500,36986
VD,20211012161000,37226
VD,20211012161500,37368
VD,20211012162000,37495
VD,20211012162500,37617
VD,20211012163000,37687
VD,20211012163500,37814
VD,20211012164000,37939
VD,20211012164500,38016
VD,20211012165000,38010
VD,20211012165500,37911
VD,20211012170000,38001
VD,20211012170500,37950
VD,20211012171000,37953
VD,20211012171500,37993
VD,20211012172000,38040
VD,20211012172500,38070
VD,20211012173000,38121
VD,20211012173500,38280
VD,20211012174000,38336
VD,20211012174500,38442
VD,20211012175000,38447
VD,20211012175500,38253
VD,20211012180000,38131
VD,20211012180500,38043
VD,20211012181000,37957
VD,20211012181500,37801
VD,20211012182000,37693
VD,20211012182500,37582
VD,20211012183000,37378
VD,20211012183500,37358
VD,20211012184000,37280
VD,20211012184500,37173
VD,20211012185000,36991
VD,20211012185500,36704
VD,20211012190000,36424
VD,20211012190500,36139
VD,20211012191000,35854
VD,20211012191500,35497
VD,20211012192000,35263
VD,20211012192500,34937
VD,20211012193000,34641
VD,20211012193500,34427
VD,20211012194000,34507
VD,20211012194500,34187
VD,20211012195000,34072
VD,20211012195500,33831
VD,20211012200000,33544
VD,20211012200500,33484
VD,20211012201000,33349
VD,20211012201500,32974
VD,20211012202000,32647
VD,20211012202500,32445
VD,20211012203000,32188
VD,20211012203500,31969
VD,20211012204000,31747
VD,20211012204500,31624
VD,20211012205000,31452
VD,20211012205500,31080
VD,20211012210000,30732
VD,20211012210500,30596
VD,20211012211000,30345
VD,20211012211500,30026
VD,20211012212000,29627
VD,20211012212500,29263
VD,20211012213000,28967
VD,20211012213500,28805
VD,20211012214000,28501
VD,20211012214500,28159
VD,20211012215000,27787
VD,20211012215500,27500
VD,20211012220000,27244
VD,20211012220500,27000
VD,20211012221000,26566
VD,20211012221500,26322
VD,20211012222000,25991
VD,20211012222500,25741
VD,20211012223000,25546
VD,20211012223500,25387
VD,20211012224000,25129
VD,20211012224500,24954
VD,20211012225000,24764
VD,20211012225500,24577
VD,20211012230000,24403
VD,20211012230500,24513
VD,20211012231000,24449
VD,20211012231500,24311
VD,20211012232000,24130
VD,20211012232500,24143
VD,20211012233000,24047
VD,20211012233500,24095
VD,20211012234000,24047
VD,20211012234500,23995
VD,20211012235000,23924
VD,20211012235500,23896
VD,20211013000000,23965
VD,20211013000500,24012
VD,20211013001000,24218
VD,20211013001500,24285
VD,20211013002000,24163
VD,20211013002500,24080
VD,20211013003000,24044
VD,20211013003500,24182
VD,20211013004000,24233
VD,20211013004500,24312
VD,20211013005000,24350
VD,20211013005500,24323
VD,20211013010000,24249
VD,20211013010500,24191
VD,20211013011000,24104
VD,20211013011500,24203
VD,20211013012000,24171
VD,20211013012500,24151
VD,20211013013000,24091
VD,20211013013500,24124
VD,20211013014000,24129
VD,20211013014500,24079
VD,20211013015000,23996
VD,20211013015500,23907
VD,20211013020000,23846
VD,20211013020500,23819
VD,20211013021000,23892
VD,20211013021500,23852
VD,20211013022000,23824
VD,20211013022500,23782
VD,20211013023000,23736
VD,20211013023500,23837
VD,20211013024000,23929
VD,20211013024500,23965
VD,20211013025000,23943
VD,20211013025500,23907
VD,20211013030000,23829
VD,20211013030500,23809
VD,20211013031000,23900
VD,20211013031500,23933
VD,20211013032000,23883
VD,20211013032500,23680
VD,20211013033000,23653
VD,20211013033500,23681
VD,20211013034000,23636
VD,20211013034500,23615
VD,20211013035000,23656
VD,20211013035500,23724
VD,20211013040000,23549
VD,20211013040500,23276
VD,20211013041000,23175
VD,20211013041500,23145
VD,20211013042000,23265
VD,20211013042500,23280
VD,20211013043000,23352
VD,20211013043500,23476
VD,20211013044000,23684
VD,20211013044500,23870
VD,20211013045000,23995
VD,20211013045500,24207
VD,20211013050000,24421
VD,20211013050500,25048
VD,20211013051000,25948
VD,20211013051500,26337
VD,20211013052000,26726
VD,20211013052500,27261
VD,20211013053000,27580
VD,20211013053500,27957
VD,20211013054000,28571
VD,20211013054500,29017
VD,20211013055000,29455
VD,20211013055500,29750
VD,20211013060000,30064
VD,20211013060500,30814
VD,20211013061000,31457
VD,20211013061500,31810
VD,20211013062000,32022
VD,20211013062500,32239
VD,20211013063000,32270
VD,20211013063500,32403
VD,20211013064000,32712
VD,20211013064500,32943
VD,20211013065000,33067
VD,20211013065500,33209
VD,20211013070000,33378
VD,20211013070500,33546
VD,20211013071000,33682
VD,20211013071500,33740
VD,20211013072000,33835
VD,20211013072500,33898
VD,20211013073000,33905
VD,20211013073500,33815
VD,20211013074000,33862
VD,20211013074500,33891
VD,20211013075000,33912
VD,20211013075500,33897
VD,20211013080000,33993
VD,20211013080500,34000
VD,20211013081000,34115
VD,20211013081500,34058
VD,20211013082000,33948
VD,20211013082500,33895
VD,20211013083000,33909
VD,20211013083500,33987
VD,20211013084000,33955
VD,20211013084500,33955
VD,20211013085000,33981
VD,20211013085500,33906
VD,20211013090000,33879
VD,20211013090500,33993
VD,20211013091000,34002
VD,20211013091500,33965
VD,20211013092000,34011
VD,20211013092500,33932
VD,20211013093000,33873
VD,20211013093500,33823
VD,20211013094000,33722
VD,20211013094500,33638
VD,20211013095000,33604
VD,20211013095500,33529
VD,20211013100000,33417
VD,20211013100500,33348
VD,20211013101000,33292
VD,20211013101500,33300
VD,20211013102000,33167
VD,20211013102500,33157
VD,20211013103000,33071
VD,20211013103500,33073
VD,20211013104000,33035
VD,20211013104500,32960
VD,20211013105000,32960
VD,20211013105500,32895
VD,20211013110000,32875
VD,20211013110500,32869
VD,20211013111000,32976
VD,20211013111500,33114
VD,20211013112000,33045
VD,20211013112500,33143
VD,20211013113000,33113
VD,20211013113500,33178
VD,20211013114000,33072
VD,20211013114500,32998
VD,20211013115000,32962
VD,20211013115500,32851
VD,20211013120000,32786
VD,20211013120500,32742
VD,20211013121000,32718
VD,20211013121500,32519
VD,20211013122000,32430
VD,20211013122500,32327
VD,20211013123000,32200
VD,20211013123500,32293
VD,20211013124000,32219
VD,20211013124500,32202
VD,20211013125000,32150
VD,20211013125500,32132
VD,20211013130000,32179
VD,20211013130500,32326
VD,20211013131000,32511
VD,20211013131500,32649
VD,20211013132000,32749
VD,20211013132500,32803
VD,20211013133000,32726
VD,20211013133500,32409
VD,20211013134000,32248
VD,20211013134500,32337
VD,20211013135000,32491
VD,20211013135500,32520
VD,20211013140000,32503
VD,20211013140500,32892
VD,20211013141000,33124
VD,20211013141500,33213
VD,20211013142000,33285
VD,20211013142500,33358
VD,20211013143000,33390
VD,20211013143500,33440
VD,20211013144000,33375
VD,20211013144500,33679
VD,20211013145000,33944
VD,20211013145500,34155
VD,20211013150000,34323
VD,20211013150500,34460
VD,20211013151000,34613
VD,20211013151500,34705
VD,20211013152000,34840
VD,20211013152500,34784
VD,20211013153000,34717
VD,20211013153500,34875
VD,20211013154000,35041
VD,20211013154500,35285
VD,20211013155000,35629
VD,20211013155500,35908
VD,20211013160000,36103
VD,20211013160500,36580
VD,20211013161000,36777
VD,20211013161500,36926
VD,20211013162000,37179
VD,20211013162500,37267
VD,20211013163000,37199
VD,20211013163500,37188
VD,20211013164000,37129
VD,20211013164500,36981
VD,20211013165000,37075
VD,20211013165500,37080
VD,20211013170000,37024
VD,20211013170500,37245
VD,20211013171000,37268
VD,20211013171500,37315
VD,20211013172000,37408
VD,20211013172500,37397
VD,20211013173000,37450
VD,20211013173500,37596
VD,20211013174000,37658
VD,20211013174500,37743
VD,20211013175000,37793
VD,20211013175500,37817
VD,20211013180000,37810
VD,20211013180500,37873
VD,20211013181000,37693
VD,20211013181500,37671
VD,20211013182000,37530
VD,20211013182500,37392
VD,20211013183000,37181
VD,20211013183500,37134
VD,20211013184000,37041
VD,20211013184500,36868
VD,20211013185000,36731
VD,20211013185500,36564
VD,20211013190000,36266
VD,20211013190500,36227
VD,20211013191000,36136
VD,20211013191500,35734
VD,20211013192000,35417
VD,20211013192500,35073
VD,20211013193000,34915
VD,20211013193500,34739
VD,20211013194000,34387
VD,20211013194500,34267
VD,20211013195000,33920
VD,20211013195500,33493
VD,20211013200000,33320
VD,20211013200500,33010
VD,20211013201000,32600
VD,20211013201500,32299
VD,20211013202000,31936
VD,20211013202500,31617
VD,20211013203000,31315
VD,20211013203500,31118
VD,20211013204000,30801
VD,20211013204500,30657
VD,20211013205000,30457
VD,20211013205500,30196
VD,20211013210000,29971
VD,20211013210500,29558
VD,20211013211000,29253
VD,20211013211500,28941
VD,20211013212000,28641
VD,20211013212500,28363
VD,20211013213000,28079
VD,20211013213500,27785
VD,20211013214000,27413
VD,20211013214500,27096
VD,20211013215000,26904
VD,20211013215500,26563
VD,20211013220000,26243
VD,20211013220500,26214
VD,20211013221000,25972
VD,20211013221500,25575
VD,20211013222000,25158
VD,20211013222500,24797
VD,20211013223000,24544
VD,20211013223500,24402
VD,20211013224000,24149
VD,20211013224500,23864
VD,20211013225000,23715
VD,20211013225500,23533
VD,20211013230000,23353
VD,20211013230500,23302
VD,20211013231000,23237
VD,20211013231500,23122
VD,20211013232000,23006
VD,20211013232500,22918
VD,20211013233000,22789
VD,20211013233500,22831
VD,20211013234000,22860
VD,20211013234500,22851
VD,20211013235000,22840
VD,20211013235500,22839
VD,20211014000000,22884
VD,20211014000500,23019
VD,20211014001000,23210
VD,20211014001500,23281
VD,20211014002000,23252
VD,20211014002500,23220
VD,20211014003000,23168
VD,20211014003500,23206
VD,20211014004000,23186
VD,20211014004500,23191
VD,20211014005000,23202
